"MgmtID","StandID","Year","RmvCode","Age","Tpa","TPrdTpa","BA","SDI","CCF","TopHt","QMD","MCuFt","TPrdMCuFt","SCuFt","TPrdSCuFt","SBdFt","TPrdSBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","RunTitle","CaseID"
"A009","230101700852","2001","0",81,2430,2430,127.357368469238,210,144,54,3.09988260269165,2299.484375,2299.484375,1650.40576171875,1650.40576171875,9702,9702,0,0,0,0,1,23.6594753265381,0.972559630870819,28.3827152252197,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2002","0",82,4867.77099609375,4867.77099609375,128.484527587891,213,145,54,2.19987154006958,2322.17114257812,2322.17114257812,1664.47509765625,1664.47509765625,9824.5302734375,9824.5302734375,0,0,0,0,1,27.958740234375,1.15525543689728,28.3170738220215,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2003","0",83,7298.80517578125,7298.80517578125,129.613708496094,216,148,54,1.80442178249359,2348.97534179688,2348.97534179688,1678.31713867188,1678.31713867188,9856.4599609375,9856.4599609375,0,0,0,0,1,25.7836589813232,1.22464728355408,28.3012046813965,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2004","0",84,9723.3076171875,9723.3076171875,130.752090454102,220,150,54,1.57019710540771,2373.52709960938,2373.52709960938,1692.85461425781,1692.85461425781,9996.0126953125,9996.0126953125,0,0,0,0,1,25.6492462158203,1.27560329437256,28.261905670166,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2005","0",85,12141.0458984375,12141.0458984375,131.904510498047,223,153,54,1.41136336326599,2393.72778320312,2393.72778320312,1704.59521484375,1704.59521484375,10139.12890625,10139.12890625,0,0,0,0,1,28.7247905731201,1.296382188797,28.1647052764893,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2006","0",86,14552.2333984375,14552.2333984375,133.077926635742,227,155,54,1.29486739635468,2421.15283203125,2421.15283203125,1720.15454101562,1720.15454101562,10222.4150390625,10222.4150390625,0,0,0,0,1,25.4736728668213,1.31836295127869,28.1511631011963,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2007","0",87,16956.748046875,16956.748046875,134.278961181641,230,158,54,1.2049525976181,2442.25390625,2442.25390625,1733.83740234375,1733.83740234375,10327.8046875,10327.8046875,0,0,0,0,1,25.8153400421143,1.32453060150146,28.0689659118652,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2008","0",88,19354.669921875,19354.669921875,135.744812011719,236,162,54,1.13398063182831,2466.736328125,2466.736328125,1747.33959960938,1747.33959960938,10339.025390625,10339.025390625,0,0,0,0,1,25.5506591796875,2.12242817878723,28.0340900421143,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2009","0",89,21716.033203125,21716.033203125,137.204391479492,242,166,54,1.07629334926605,2464.6513671875,2464.6513671875,1761.30444335938,1761.30444335938,10367.63671875,10367.63671875,0,0,0,0,1,26.950065612793,3.15583443641663,27.6966285705566,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2010","0",90,24018.65234375,24018.65234375,138.759567260742,248,169,54,1.0291873216629,2488.43920898438,2488.43920898438,1774.45922851562,1774.45922851562,10482.427734375,10482.427734375,0,0,0,0,1,24.8124179840088,5.09121179580688,27.6444435119629,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2011","0",91,26212.033203125,26212.033203125,140.653182983398,258,174,55,0.991884469985962,2507.56323242188,2507.56323242188,1778.98962402344,1778.98962402344,10469.2392578125,10469.2392578125,0,0,0,0,1,27.0837211608887,6.83729267120361,27.5604400634766,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2012","0",92,28289.283203125,28289.283203125,142.751800537109,268,181,55,0.961869835853577,2527.8056640625,2527.8056640625,1791.06372070312,1791.06372070312,10511.078125,10511.078125,0,0,0,0,1,23.8783683776855,9.0205192565918,27.4782600402832,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2013","0",93,30211.962890625,30211.962890625,145.140213012695,281,188,55,0.938514709472656,2527.08056640625,2527.08056640625,1820.16552734375,1820.16552734375,10555.298828125,10555.298828125,0,0,0,0,1,26.7059803009033,7.34552192687988,27.1720428466797,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2014","0",94,32193.046875,32193.046875,148.285751342773,297,200,55,0.918978691101074,2546.3935546875,2546.3935546875,1832.990234375,1832.990234375,10576.232421875,10576.232421875,0,0,0,0,1,104.234565734863,37.9246139526367,27.0851058959961,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2015","0",95,32193.013671875,32193.013671875,149.227294921875,307,206,55,0.921892821788788,2611.52734375,2611.52734375,1847.7744140625,1847.7744140625,10604.794921875,10604.794921875,0,0,0,0,1,31.8345775604248,41.5529251098633,27.4947376251221,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2016","0",96,32192.978515625,32192.978515625,150.610473632812,319,213,55,0.926154613494873,2601.7880859375,2601.7880859375,1842.31457519531,1842.31457519531,10692.544921875,10692.544921875,0,0,0,0,1,33.977352142334,41.3805160522461,27.1041660308838,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2017","0",97,32193.013671875,32193.013671875,152.319137573242,332,221,55,0.931394040584564,2592.86767578125,2592.86767578125,1855.05065917969,1855.05065917969,10815.1865234375,10815.1865234375,0,0,0,0,1,30.2356834411621,41.2857093811035,26.7319583892822,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2018","0",98,32192.986328125,32192.986328125,154.284545898438,346,231,55,0.937383413314819,2579.7939453125,2579.7939453125,1887.5625,1887.5625,10896.134765625,10896.134765625,0,0,0,0,1,34.7712860107422,40.9319076538086,26.326530456543,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2019","0",99,32193.041015625,32193.041015625,156.42919921875,360,241,55,0.943874955177307,2573.63330078125,2573.63330078125,1882.65026855469,1882.65026855469,10906.962890625,10906.962890625,0,0,0,0,1,38.6121711730957,40.7563018798828,26,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2020","0",100,32192.9765625,32192.9765625,158.863128662109,374,252,55,0.951190948486328,2571.48901367188,2571.48901367188,1880.34594726562,1880.34594726562,10830.5234375,10830.5234375,0,0,0,0,1,34.4745216369629,40.7924118041992,25.7099990844727,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
"A009","230101700852","2021","0",101,32192.98828125,32192.98828125,161.453765869141,389,264,56,0.958915174007416,2565.17138671875,2565.17138671875,1876.60546875,1876.60546875,10912.357421875,10912.357421875,0,0,0,0,1,18.3277263641357,40.4578323364258,25.3960399627686,"801","1","2","ByPlotYearly","75964e72-239e-47e4-bcd3-228d89d85c99"
