Year,Total_Carbon,NK_Carbon,Repro_Carbon,Aboveground_Live,Aboveground_Dead,Standing_Dead,Down_Dead
2005,148.08517819359184,107.27912743673443,97.62040721589615,91.5966562543597,15.682471182374726,6.023750961536451,9.658720220838275
2015,171.47938791910818,126.3675289040521,115.6319441454752,108.05496724446623,18.31256165958587,7.576976901008975,10.735584758576897
2025,194.23621622721353,144.44651685442244,130.03429969151816,116.62595694405694,27.820559910365507,13.408342747461225,14.412217162904284
2035,208.66472226097466,155.58097675868456,138.73589751833973,123.41899290538983,32.16198385329473,15.316904612949914,16.845079240344816
2045,219.12449355352481,163.6178091367086,145.02880071458364,130.38289642333987,33.23491271336872,14.645904291243774,18.589008422124948
2055,227.96317036946616,170.52066739400217,151.027327174232,136.7836183820451,33.73704901195708,14.24370879218692,19.49334021977016
2065,235.6936333065941,176.6890880039759,156.7565589632306,142.17457507905496,34.51451292492095,14.58198388417562,19.932529040745333
2075,242.32307506742947,182.05209918249224,161.64889480954128,146.77351633707684,35.27858284541538,14.875378472464417,20.403204372950956
2085,248.10007658458895,186.77506755647204,165.8396783102126,150.8537143525623,35.921353203909746,14.985963957650325,20.93538924625942
2095,253.09412493024558,190.85641988118485,169.36403878529862,154.39858790806358,36.45783197312127,14.965450877235051,21.492381095886223
2105,257.5756203787667,194.51235662187855,172.47383104051872,157.6157742454893,36.89658237638928,14.85805679502942,22.038525581359863
2115,261.51750183105463,197.69538184574668,175.17855308169405,160.45839836483904,37.23698348090762,14.720154716855003,22.51682876405262
2125,264.998822893415,200.4668770744687,177.544565427871,162.96268681117468,37.50419026329404,14.581878616696317,22.922311646597727
2135,268.0272594633556,202.8391514732723,179.5863086609612,165.18091801234644,37.65823346092588,14.405390648614786,23.25284281231109
2145,270.67584010532926,204.8600457509359,181.3565357753209,167.10439809163415,37.75564765930177,14.25213768368676,23.50350997561501
2155,272.9450538271949,206.53536001841212,182.85721674419568,168.78989628383076,37.74546373458135,14.067320460364932,23.67814327421642
2165,275.2780100504557,208.30162997472848,184.53431842440645,170.6871937343052,37.614436240423295,13.847124690101259,23.767311550322034
