"MgmtID","StandID","Year","RmvCode","Age","Tpa","TPrdTpa","BA","SDI","CCF","TopHt","QMD","MCuFt","TPrdMCuFt","SCuFt","TPrdSCuFt","SBdFt","TPrdSBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","RunTitle","CaseID"
"A015","361503105127","2015","0",110,3102,3102,128.8427734375,238,272,72,2.7595956325531,2646,2646,1525.20007324219,1525.20007324219,9018,9018,0,0,0,0,10,49.286449432373,0.833297610282898,24.0545463562012,"801","2","1","Grow_2015","ceb67a4f-5a9f-4f06-966d-203c99fb059b"
"A015","361503105127","2025","0",120,2767.9375,2767.9375,150.867218017578,291,323,76,3.16122627258301,3130.53100585938,3130.53100585938,1781.78540039062,1781.78540039062,10602.037109375,10602.037109375,0,0,0,0,0,0,0,26.091667175293,"801","2","1","Grow_2015","ceb67a4f-5a9f-4f06-966d-203c99fb059b"
"A015","361503105218","2015","0",101,2979,2979,128.77571105957,234,212,70,2.81525659561157,2737.7998046875,2737.7998046875,1950,1950,11274,11274,0,0,0,0,10,103.671813964844,0.868206977844238,27.1089115142822,"105","1","1","Grow_2015","3a1c7b48-92db-44d5-a64d-49e3d6905877"
"A015","361503105218","2025","0",111,2814.26220703125,2814.26220703125,165.11865234375,312,265,78,3.27983689308167,3765.83618164062,3765.83618164062,2558.03125,2558.03125,15044.7451171875,15044.7451171875,0,0,0,0,0,0,0,33.9279289245605,"105","1","1","Grow_2015","3a1c7b48-92db-44d5-a64d-49e3d6905877"
"A015","361504303762","2015","0",95,3006,3006,172.905914306641,297,358,82,3.24748158454895,4323,4323,3571.19995117188,3571.19995117188,22584,22584,0,0,0,0,10,61.8198471069336,11.4319086074829,45.5052642822266,"801","1","1","Grow_2015","d9dffd5f-f6f5-4dd1-9265-0c1aa38e1cb4"
"A015","361504303762","2025","0",105,1329.49267578125,1329.49267578125,179.914688110352,302,355,86,4.98111629486084,4826.8798828125,4826.8798828125,4095.80981445312,4095.80981445312,25793.703125,25793.703125,0,0,0,0,0,0,0,45.9714279174805,"801","1","1","Grow_2015","d9dffd5f-f6f5-4dd1-9265-0c1aa38e1cb4"
