"MgmtID","StandID","Year","RmvCode","Age","Tpa","TPrdTpa","BA","SDI","CCF","TopHt","QMD","MCuFt","TPrdMCuFt","SCuFt","TPrdSCuFt","SBdFt","TPrdSBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","RunTitle","CaseID"
"FIA","360303105127","2004","0",100,2748,2748,105.213737487793,201,231,67,2.64950156211853,1991.99987792969,1991.99987792969,1210.80004882812,1210.80004882812,6978,6978,0,0,0,0,10,42.1876983642578,0.407506912946701,19.9200000762939,"801","1","1","Grow_2004","c405f06f-2594-4034-861a-d0155667d59e"
"FIA","360303105127","2014","0",110,2406.21655273438,2406.21655273438,130.993713378906,263,290,71,3.15932440757751,2409.8017578125,2409.8017578125,1478.32983398438,1478.32983398438,8688.4189453125,8688.4189453125,0,0,0,0,0,0,0,21.9090900421143,"801","1","1","Grow_2004","c405f06f-2594-4034-861a-d0155667d59e"
"FIA","360304102703","2004","0",90,2649,2649,111.947723388672,221,155,73,2.7835750579834,2423.98046875,2423.98046875,1542.98291015625,1542.98291015625,8760.61328125,8760.61328125,0,0,0,0,10,60.8905792236328,3.32121992111206,26.9333324432373,"801","1","1","Grow_2004","f890d091-cfac-4146-9712-5128065c2026"
"FIA","360304102703","2014","0",100,2233.68334960938,2233.68334960938,177.683319091797,375,256,79,3.81899237632751,2999.67431640625,2999.67431640625,1945.54638671875,1945.54638671875,11713.177734375,11713.177734375,0,0,0,0,0,0,0,30,"124","1","1","Grow_2004","f890d091-cfac-4146-9712-5128065c2026"
"FIA","500402300275","2004","0",81,1110,1110,99.2221374511719,150,146,90,4.04835939407349,3275.39990234375,3275.39990234375,2893.19970703125,2893.19970703125,18612,18612,0,0,0,0,10,54.9130554199219,0.00807219743728638,40.4320983886719,"801","1","2","Grow_2004","226c991b-07d5-4769-a6ca-187e1deb661a"
"FIA","500402300275","2014","0",91,1107.92614746094,1107.92614746094,123.228096008301,209,231,95,4.51581048965454,3824.44995117188,3824.44995117188,3373.32373046875,3373.32373046875,21639.634765625,21639.634765625,0,0,0,0,0,0,0,42.0219764709473,"801","1","2","Grow_2004","226c991b-07d5-4769-a6ca-187e1deb661a"
