"","CaseID","StandID","Year","abgCMgha","Belowground_Live","Standing_Dead","Belowground_Dead","Forest_Down_Dead_Wood","Age","Tpa","BA","SDI","TopHt"
"1","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2005,4.58885765075684,1.23953521251678,0,0,4.31999969482422,0,118.190643310547,21.8058605194092,42,47
"2","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2015,6.17301559448242,1.64397013187408,0.0202715788036585,0.00627607805654407,2.14538311958313,10,114.825378417969,28.342321395874,53,49
"3","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2023,7.5999584197998,2.01899313926697,0.0319362357258797,0.0135734817013144,1.66249513626099,18,112.179504394531,34.2020111083984,63,53
"4","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2033,9.6437349319458,2.53289890289307,0.0601178184151649,0.0264875218272209,1.25833439826965,28,108.935829162598,41.8766555786133,76,57
"5","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2043,11.9025859832764,3.07733201980591,0.0931314006447792,0.0445758327841759,1.08672642707825,38,105.760345458984,49.6220359802246,87,61
"6","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2053,14.417106628418,3.62768793106079,0.148748070001602,0.0678320899605751,0.990691781044006,48,102.654289245605,57.0706062316895,98,65
"7","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2063,16.9939117431641,4.1844048500061,0.22540919482708,0.0951703935861588,0.94886040687561,58,99.6185836791992,64.2873840332031,108,68
"8","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2073,19.5566444396973,4.74676036834717,0.319558918476105,0.126424252986908,0.934418141841888,68,96.6533126831055,71.3179779052734,117,71
"9","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2083,22.1151008605957,5.30333757400513,0.421035051345825,0.162227421998978,0.983812570571899,78,93.7576522827148,78.0254211425781,125,74
"10","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2093,24.6441841125488,5.85083866119385,0.543923377990723,0.203525796532631,1.07365202903748,88,90.9310760498047,84.4019165039062,133,76
"11","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2103,27.1533641815186,6.3909764289856,0.686521768569946,0.250542491674423,1.1964225769043,98,88.1724700927734,90.4787826538086,140,78
"12","0adc89e5-2d71-45fb-a588-9c799c25539e","62265425010538",2113,29.5740299224854,6.91157531738281,0.844907760620117,0.302486926317215,1.33963251113892,108,85.4806594848633,96.1497802734375,147,80
"13","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2011,5.99172115325928,1.70666360855103,0,0,4.31999969482422,0,145.645874023438,30.3255252838135,58,46
"14","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2021,8.56958484649658,2.35429096221924,0.033599391579628,0.011258265003562,2.18809700012207,10,141.496078491211,41.6162490844727,78,52
"15","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2023,8.96766662597656,2.49215054512024,0.0285861808806658,0.0147775588557124,2.30531072616577,12,140.670867919922,43.9141502380371,82,54
"16","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2033,12.2331295013428,3.23408699035645,0.0825601518154144,0.0343292616307735,1.54211354255676,22,136.608627319336,55.927059173584,101,60
"17","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2043,15.7449817657471,4.02479028701782,0.151661157608032,0.0628857985138893,1.39124715328217,32,132.624954223633,67.9776458740234,120,65
"18","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2053,19.4745311737061,4.83605766296387,0.247705638408661,0.099908672273159,1.30397343635559,42,128.722900390625,79.6653213500977,136,70
"19","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2063,23.2516937255859,5.6509370803833,0.370535969734192,0.144199043512344,1.28249049186707,52,124.905136108398,90.8378753662109,151,75
"20","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2073,27.1930236816406,6.48356580734253,0.508511066436768,0.19444639980793,1.34288740158081,62,121.172714233398,101.813018798828,166,79
"21","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2083,31.0843925476074,7.31723880767822,0.668386936187744,0.250925600528717,1.45575594902039,72,117.525596618652,112.379501342773,179,83
"22","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2093,35.0314331054688,8.15053749084473,0.847422063350677,0.313886761665344,1.62226796150208,82,113.96363067627,122.58528137207,191,86
"23","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2103,38.8793983459473,8.96601676940918,1.06013631820679,0.383903026580811,1.81823706626892,92,110.485511779785,132.24919128418,202,89
"24","0e417a94-c237-4ce4-8a9b-b576f2fc6688","221353860010661",2113,42.5495223999023,9.7581148147583,1.30414140224457,0.462172418832779,2.02605605125427,102,107.090461730957,141.34260559082,213,91
"25","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2012,6.18142127990723,1.53852581977844,0,0,4.66499996185303,0,78.8226089477539,23.5992736816406,40,46
"26","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2022,7.33432197570801,1.7689608335495,0.0191669631749392,0.00461625820025802,2.35085272789001,10,76.5458450317383,26.9864101409912,46,51
"27","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2023,7.31512069702148,1.79165160655975,0.0148826837539673,0.0051437895745039,2.35729169845581,11,76.3202438354492,27.3091335296631,46,51
"28","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2033,8.56931209564209,2.04683923721313,0.0364683493971825,0.0108506269752979,1.47788655757904,21,74.0991287231445,30.9831600189209,52,56
"29","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2043,9.85015296936035,2.32047724723816,0.0578457117080688,0.0186675433069468,1.13413369655609,31,71.9276275634766,34.8137130737305,58,59
"30","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2053,11.1725425720215,2.60408568382263,0.0865809246897697,0.029587633907795,0.938550472259521,41,69.8053741455078,38.664680480957,64,63
"31","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2063,12.6143941879272,2.88755202293396,0.11975871026516,0.0446032993495464,0.835351347923279,51,67.7322463989258,42.3668174743652,69,66
"32","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2073,14.0815334320068,3.16449427604675,0.183532744646072,0.0637525618076324,0.765825271606445,61,65.7085113525391,45.8659057617188,74,69
"33","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2083,15.4709987640381,3.43294239044189,0.266786992549896,0.0878392979502678,0.734536290168762,71,63.7340469360352,49.1511535644531,79,71
"34","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2093,16.7707996368408,3.68522500991821,0.367165803909302,0.119423188269138,0.761851131916046,81,61.8085861206055,52.1320991516113,82,73
"35","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2103,17.9820804595947,3.91607046127319,0.494821429252625,0.160839945077896,0.801469027996063,91,59.9316101074219,54.7474975585938,86,75
"36","0f484b3e-33b1-4eb7-a180-44d06199043b","247057536010661",2113,19.0895614624023,4.12101936340332,0.65320086479187,0.213612824678421,0.893909692764282,101,58.1027297973633,56.9522514343262,88,77
"37","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2017,5.7959451675415,1.68282997608185,0,0,4.32000017166138,0,133.189849853516,30.0691699981689,57,46
"38","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2023,7.16709899902344,2.05078721046448,0.0182350762188435,0.00648083398118615,2.74095702171326,6,130.914520263672,36.4867744445801,69,50
"39","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2033,10.0137367248535,2.74385046958923,0.0496712997555733,0.0206599980592728,1.80767118930817,16,127.182395935059,48.0094718933105,88,56
"40","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2043,13.2599287033081,3.5044379234314,0.0992451384663582,0.0428935848176479,1.48664259910583,26,123.516242980957,59.9041557312012,106,62
"41","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2053,16.8176517486572,4.29901695251465,0.17534476518631,0.0737509280443192,1.31012368202209,36,119.919944763184,71.6195220947266,123,67
"42","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2063,20.426851272583,5.10096263885498,0.275580286979675,0.111834444105625,1.23788285255432,46,116.396797180176,82.8221435546875,139,72
"43","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2073,24.1828594207764,5.91461324691772,0.394828885793686,0.155599266290665,1.24008560180664,56,112.949066162109,93.6950607299805,153,77
"44","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2083,27.9500045776367,6.7375545501709,0.529141485691071,0.204682216048241,1.31220769882202,66,109.576683044434,104.265937805176,166,81
"45","102a0050-54a5-44b2-aae8-f34a6c7d9003","374002680489998",2093,31.7757472991943,7.56163692474365,0.67894434928894,0.259109526872635,1.43527364730835,76,106.280532836914,114.478858947754,179,84
