"MgmtID","StandID","Year","Aboveground_Total_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","RunTitle","CaseID"
"Grow","230101700852","2001",58.4780616760254,19.2104740142822,3.44951391220093,7.81497001647949,10.457257270813,13.3866348266602,0.694908857345581,113.491828918457,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2005",61.3530044555664,19.7878131866455,2.9389820098877,6.50056171417236,9.66527271270752,14.256724357605,0.694908857345581,115.197265625,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2010",65.0616836547852,20.6399536132812,2.41602039337158,4.89941453933716,10.4102945327759,14.4983243942261,0.694908857345581,118.620597839355,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2015",69.2992630004883,21.6993827819824,1.99860644340515,3.38503551483154,11.0813827514648,14.7809934616089,0.694908857345581,122.939559936523,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2020",73.662353515625,22.7650108337402,1.73880469799042,2.22918128967285,11.5655746459961,15.1847820281982,0.694908857345581,127.840621948242,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2025",77.9481430053711,23.9695243835449,1.77104961872101,1.92782914638519,12.3599395751953,15.5255260467529,0.694908857345581,134.196929931641,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2030",82.6258392333984,25.3370018005371,1.88467049598694,2.53371429443359,12.2455368041992,15.7577981948853,0.694908857345581,141.079483032227,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2035",88.0458297729492,26.842134475708,1.99316728115082,2.82867455482483,12.204363822937,15.9990978240967,0.694908857345581,148.608184814453,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2040",93.3348159790039,28.4612197875977,2.07437705993652,2.94722676277161,12.5162763595581,16.2501316070557,0.694908857345581,156.278961181641,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2045",97.6904830932617,29.8927745819092,2.37372899055481,3.78048157691956,12.9916467666626,16.5251235961914,0.694908857345581,163.949172973633,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2050",98.4078750610352,30.3072929382324,3.53535151481628,7.22191524505615,13.4732942581177,16.7723579406738,0.694908857345581,170.412994384766,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2055",100.03776550293,30.944845199585,4.18040466308594,7.19787311553955,14.6946859359741,16.8558082580566,0.694908857345581,174.606292724609,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2060",102.070510864258,31.6530361175537,4.60111570358276,7.16540050506592,15.263277053833,16.9595794677734,0.694908857345581,178.407836914062,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2065",103.978034973145,32.3743133544922,4.85860061645508,6.89005184173584,15.7742414474487,17.0869140625,0.694908857345581,181.657073974609,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2070",106.0654296875,33.107795715332,5.01166772842407,6.5146074295044,16.0940971374512,17.226354598999,0.694908857345581,184.714859008789,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2075",108.189041137695,33.6837158203125,5.24008989334106,6.5101375579834,16.2087535858154,17.3730201721191,0.694908857345581,187.899673461914,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2080",109.95531463623,34.119930267334,5.53930139541626,7.15076351165771,15.941164970398,17.5022220611572,0.694908857345581,190.903610229492,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2085",111.594825744629,34.5448684692383,5.76022243499756,7.62928628921509,15.4237575531006,17.609058380127,0.694908857345581,193.256927490234,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2090",112.956512451172,34.943775177002,5.92759847640991,7.94120597839355,15.4713230133057,17.7108020782471,0.694908857345581,195.646133422852,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2095",114.281684875488,35.3228912353516,6.05530166625977,8.04631423950195,15.6282081604004,17.8116550445557,0.694908857345581,197.840972900391,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2100",115.673583984375,35.6776008605957,6.14515256881714,8.12097263336182,15.6015663146973,17.9117488861084,0.694908857345581,199.825531005859,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2105",117.064895629883,36.0093307495117,6.21509122848511,8.20756912231445,15.7739000320435,18.0100631713867,0.694908857345581,201.975738525391,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2110",118.176788330078,36.3212585449219,6.26255893707275,8.33226871490479,15.8207054138184,18.106575012207,0.694908857345581,203.715072631836,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
"Grow","230101700852","2115",119.164527893066,36.6123352050781,6.29716873168945,8.43977928161621,15.8940906524658,18.2007465362549,0.694908857345581,205.30354309082,"AllPlots","3e7a5991-05dc-4c65-802f-2233a5d0170a"
