"MgmtID","StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","RunTitle","CaseID"
"GROW","230101700852_1","2001",22.9743766784668,8.74649238586426,5.28492116928101,0,0,8.91052532196045,15.7753257751465,0.694908857345581,53.6400566101074,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2005",26.2198753356934,10.3981332778931,5.83795070648193,0.00500223459675908,0.0226700399070978,6.63985633850098,15.3598384857178,0.694908857345581,54.780101776123,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2015",36.2571258544922,14.3169250488281,7.99994707107544,0.0157802980393171,0.0754273906350136,4.65989398956299,15.336407661438,0.694908857345581,65.0394897460938,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2025",48.8458671569824,17.4981746673584,11.296989440918,0.236802756786346,1.2509309053421,4.61870622634888,16.163049697876,0.694908857345581,83.1072540283203,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2035",61.2692909240723,30.2496738433838,14.464747428894,1.59858572483063,6.34052896499634,6.15112733840942,16.82985496521,0.694908857345581,107.349052429199,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2045",70.8316268920898,35.1951713562012,17.052225112915,2.98551106452942,7.29931163787842,7.72178840637207,17.0937519073486,0.694908857345581,123.67911529541,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2055",79.4173049926758,40.3567314147949,19.1035480499268,4.1069016456604,7.9280047416687,8.64135456085205,17.4572410583496,0.694908857345581,137.349273681641,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2065",86.0912246704102,46.0199890136719,20.509838104248,4.90179967880249,8.43542575836182,9.7086763381958,17.8915309906006,0.694908857345581,148.2333984375,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2075",92.2470474243164,56.9913215637207,21.6430530548096,5.44933938980103,9.10592746734619,10.3738384246826,18.2959251403809,0.694908857345581,157.810043334961,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2085",97.4541778564453,61.700439453125,22.6081199645996,5.8551139831543,10.1956920623779,10.8295373916626,18.6863536834717,0.694908857345581,166.323928833008,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2095",102.844268798828,66.5559844970703,23.7546672821045,5.80721426010132,10.2609901428223,11.3881816864014,19.0442695617676,0.694908857345581,173.794509887695,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2105",107.09642791748,70.9059600830078,24.5456867218018,6.00779438018799,11.5978498458862,12.194634437561,19.4164218902588,0.694908857345581,181.553756713867,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2115",110.39525604248,73.9465179443359,25.2975482940674,6.11156797409058,12.3055543899536,13.3076505661011,19.7299861907959,0.694908857345581,187.842483520508,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2125",113.441612243652,76.6674270629883,26.0698490142822,5.98629426956177,11.8952913284302,14.6278238296509,20.030574798584,0.694908857345581,192.746368408203,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2135",117.098106384277,79.7840423583984,26.9770698547363,5.83585214614868,11.6243476867676,15.5204467773438,20.3244762420654,0.694908857345581,198.075210571289,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2145",118.320831298828,81.0591735839844,27.4316806793213,6.07767200469971,13.1922264099121,16.3179302215576,20.6409645080566,0.694908857345581,202.676223754883,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2155",118.217735290527,80.9705429077148,27.9009895324707,6.10045957565308,13.3834714889526,17.4368762969971,20.8860130310059,0.694908857345581,204.620468139648,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_1","2165",120.341995239258,82.3696594238281,28.3919506072998,6.0414252281189,12.9909868240356,18.3561725616455,21.1291122436523,0.694908857345581,207.946548461914,0,0,"AllSubplots","da1c9d0e-c4a9-4d5d-915e-2a25dc4eb2e8"
"GROW","230101700852_2","2001",100.01766204834,63.9136161804199,36.3825225830078,0,0,10.4572591781616,13.3866367340088,0.694908857345581,160.938995361328,0,0,"AllSubplots","11b1d529-6017-4f38-a3df-21e32cfdd46e"
"GROW","230101700852_2","2005",100.941627502441,64.7977066040039,36.294490814209,0.518360197544098,1.58687376976013,8.61220455169678,17.2087116241455,0.694908857345581,165.857162475586,0,0,"AllSubplots","11b1d529-6017-4f38-a3df-21e32cfdd46e"
