"PLT_CN","SHORT","PLOT","SUBP","INVYR","TREE","SPCD","DIA","HT","TPA_UNADJ","agb_gm2","topSICOND","topSTDAGE","gesp","H_assigned","b1","b2","b3","b4","b5","calc_age","calcAgeCut","ageBin","ageBinAdj"
"52932795010538","0023200105030702501505",1505,3,2001,3,318,6.5,39,6.018046,147.070421684149,44,94,"ACSA",39,3.3721,0.8407,-0.015,2.6208,-0.2661,42,"(25,50]",50,50
"52932795010538","0023200105030702501505",1505,3,2001,4,318,19,61,6.018046,2320.64166485277,44,94,"ACSA",61,3.3721,0.8407,-0.015,2.6208,-0.2661,90,"(75,100]",100,100
"52932795010538","0023200105030702501505",1505,3,2001,6,371,9.8,60,6.018046,436.496160814212,44,94,"BEAL",60,2.2835,0.9794,-0.0054,0.5819,-0.0281,105,"(100,125]",125,125
"52932795010538","0023200105030702501505",1505,3,2001,7,316,13.2,54,6.018046,824.552720614799,44,94,"ACRU",54,2.9435,0.9132,-0.0141,1.658,-0.1095,66,"(50,75]",75,75
"52932795010538","0023200105030702501505",1505,3,2001,8,316,11.9,46,6.018046,545.213402436355,44,94,"ACRU",46,2.9435,0.9132,-0.0141,1.658,-0.1095,53,"(50,75]",75,75
"52932795010538","0023200105030702501505",1505,3,2001,9,318,16.6,56,6.018046,1688.02374081219,44,94,"ACSA",56,3.3721,0.8407,-0.015,2.6208,-0.2661,76,"(75,100]",100,100
"52932795010538","0023200105030702501505",1505,3,2001,14,97,5.1,34,6.018046,41.8389429022077,44,94,"PIRU",34,1.3307,1.0442,-0.0496,3.5829,0.0945,41,"(25,50]",50,50
"52932795010538","0023200105030702501505",1505,3,2001,16,318,5,36,6.018046,53.1974193659756,44,94,"ACSA",36,3.3721,0.8407,-0.015,2.6208,-0.2661,37,"(25,50]",50,50
"52932795010538","0023200105030702501505",1505,3,2001,18,371,5.6,47,6.018046,87.2493089121272,44,94,"BEAL",47,2.2835,0.9794,-0.0054,0.5819,-0.0281,59,"(50,75]",75,75
"52932795010538","0023200105030702501505",1505,4,2001,1,371,14.4,63,6.018046,1111.92866658184,44,94,"BEAL",63,2.2835,0.9794,-0.0054,0.5819,-0.0281,120,"(100,125]",125,125
"52932795010538","0023200105030702501505",1505,4,2001,2,318,19.5,61,6.018046,2414.44894069632,44,94,"ACSA",61,3.3721,0.8407,-0.015,2.6208,-0.2661,90,"(75,100]",100,100
"52932795010538","0023200105030702501505",1505,4,2001,3,318,7,48,6.018046,199.913989245188,44,94,"ACSA",48,3.3721,0.8407,-0.015,2.6208,-0.2661,57,"(50,75]",75,75
"52932795010538","0023200105030702501505",1505,4,2001,5,371,9.7,52,6.018046,428.275628406944,44,94,"BEAL",52,2.2835,0.9794,-0.0054,0.5819,-0.0281,74,"(50,75]",75,75
