5.0,7.0,9.0,11.0,15.0,17.0,19.0,21.0,23.0,25.0,27.0,29.0,Species
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,100
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,101
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,102
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,106
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,109
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,112
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,113
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,114
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,116
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,117
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,118
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,120
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,122
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,124
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,127
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,133
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,134
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,135
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,137
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,138
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,139
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,140
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,142
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,143
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,144
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,321
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,322
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,323
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,475
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,755
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,756
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,757
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,758
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,800
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,803
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,810
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,811
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,814
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,823
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,826
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,829
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,843
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,846
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,847
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,850
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,902
0.09,0.16,0.25,0.36,0.49,0.64,0.81,1.00,1.21,1.44,1.69,1.96,990
0.12,0.20,0.28,0.39,0.50,0.62,0.76,0.91,1.06,1.23,1.40,1.59,125
0.12,0.20,0.28,0.39,0.50,0.62,0.76,0.91,1.06,1.23,1.40,1.59,136
0.18,0.29,0.43,0.58,0.75,0.94,1.14,1.36,1.60,1.84,2.11,2.39,128
0.13,0.21,0.29,0.38,0.48,0.59,0.71,0.83,0.96,1.09,1.23,1.38,129
0.15,0.24,0.36,0.49,0.64,0.80,0.98,1.18,1.39,1.61,1.85,2.10,131
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,15
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,200
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,201
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,202
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,510
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,511
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,512
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,513
0.12,0.19,0.27,0.35,0.45,0.55,0.66,0.78,0.90,1.03,1.16,1.30,514
0.11,0.18,0.27,0.38,0.50,0.64,0.79,0.95,1.13,1.32,1.53,1.74,43
0.11,0.18,0.27,0.38,0.50,0.64,0.79,0.95,1.13,1.32,1.53,1.74,241
0.14,0.25,0.40,0.59,0.82,1.09,1.39,1.74,2.13,2.56,3.03,3.54,240
0.14,0.25,0.40,0.59,0.82,1.09,1.39,1.74,2.13,2.56,3.03,3.54,260
0.14,0.25,0.40,0.59,0.82,1.09,1.39,1.74,2.13,2.56,3.03,3.54,261
0.14,0.25,0.40,0.59,0.82,1.09,1.39,1.74,2.13,2.56,3.03,3.54,262
0.09,0.14,0.20,0.27,0.35,0.44,0.53,0.64,0.75,0.86,0.98,1.11,11
0.09,0.14,0.20,0.27,0.35,0.44,0.53,0.64,0.75,0.86,0.98,1.11,14
0.09,0.14,0.20,0.27,0.35,0.44,0.53,0.64,0.75,0.86,0.98,1.11,17
0.09,0.14,0.20,0.27,0.35,0.44,0.53,0.64,0.75,0.86,0.98,1.11,20
0.09,0.14,0.20,0.27,0.35,0.44,0.53,0.64,0.75,0.86,0.98,1.11,21
0.09,0.14,0.20,0.27,0.35,0.44,0.53,0.64,0.75,0.86,0.98,1.11,22
