"MgmtID","StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","RunTitle","CaseID"
"","230101700852_1","2001",22.9743766784668,8.74649238586426,5.28492116928101,0,0,8.91052532196045,15.7753257751465,0.694908857345581,53.6400566101074,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2005",27.5898132324219,11.3958539962769,5.95142459869385,0.00500223459675908,0.0226700399070978,6.63985633850098,15.3598384857178,0.694908857345581,56.2635154724121,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2015",43.3312797546387,18.3967189788818,8.85000324249268,0.0193098355084658,0.115312054753304,4.67461490631104,15.4796524047852,0.694908857345581,73.1650772094727,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2025",56.1889228820801,21.7954921722412,11.924033164978,0.965103983879089,6.21837759017944,4.83342742919922,17.2438316345215,0.694908857345581,98.0685958862305,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2035",65.583122253418,33.1747550964355,14.1220006942749,3.03685617446899,13.2214050292969,7.04734230041504,18.315299987793,0.694908857345581,122.020935058594,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2045",74.6223297119141,37.7630996704102,16.2300262451172,4.41059017181396,12.0785684585571,8.88294315338135,18.4858722686768,0.694908857345581,135.405242919922,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2055",80.4616470336914,41.3210334777832,17.5077743530273,5.77852487564087,14.3362054824829,9.47642517089844,19.0767116546631,0.694908857345581,147.33219909668,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2065",84.7942352294922,44.4451065063477,18.4989776611328,6.72651767730713,15.0629377365112,10.9058513641357,19.5504570007324,0.694908857345581,156.23388671875,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2075",89.1502990722656,49.823616027832,19.430118560791,7.22897386550903,15.0734281539917,12.0913333892822,19.9978542327881,0.694908857345581,163.666915893555,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2085",92.8095779418945,52.3396415710449,20.2647800445557,7.45555591583252,15.1021699905396,12.9612522125244,20.4513072967529,0.694908857345581,169.739562988281,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2095",95.969482421875,56.9945335388184,21.0306568145752,7.49118185043335,15.1900491714478,13.8400106430054,20.8862838745117,0.694908857345581,175.102569580078,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2105",100.851463317871,62.6537933349609,21.8484153747559,7.42337512969971,14.8063735961914,14.5527954101562,21.29638671875,0.694908857345581,181.473724365234,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2115",105.433738708496,67.2934875488281,22.6499004364014,7.33911895751953,15.3221406936646,14.9379472732544,21.7261905670166,0.694908857345581,188.103942871094,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2125",109.984436035156,71.4489440917969,23.5698547363281,7.14291048049927,15.1491985321045,15.5801820755005,22.1444492340088,0.694908857345581,194.265960693359,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2135",114.803596496582,75.6997222900391,24.5499897003174,6.98600387573242,15.1115322113037,16.2194442749023,22.5978775024414,0.694908857345581,200.963363647461,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2145",118.105895996094,78.9156036376953,25.2619533538818,7.06254863739014,16.1804809570312,16.7223567962646,23.0562839508057,0.694908857345581,207.084426879883,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2155",118.992553710938,80.090576171875,25.7119998931885,7.11081504821777,16.6625728607178,17.4853572845459,23.4262008666992,0.694908857345581,210.084411621094,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_1","2165",122.157768249512,82.530029296875,26.2534160614014,7.07103872299194,16.5083961486816,18.2079849243164,23.719690322876,0.694908857345581,214.613220214844,0,0,"BySubplot","da52157f-87a4-44ac-9ae7-492e95dc42d8"
"","230101700852_2","2001",100.01766204834,63.9136161804199,36.3825225830078,0,0,10.4572591781616,13.3866367340088,0.694908857345581,160.938995361328,0,0,"BySubplot","47ea3f73-3e0c-4ee0-bd1f-78ad4260e67c"
"","230101700852_2","2005",102.311767578125,65.7954483032227,36.4086532592773,0.518360197544098,1.58687376976013,8.61220455169678,17.2087116241455,0.694908857345581,167.34147644043,0,0,"BySubplot","47ea3f73-3e0c-4ee0-bd1f-78ad4260e67c"
"","230101700852_2","2015",107.250732421875,69.414924621582,36.7186317443848,1.54469811916351,4.80782747268677,8.16613101959229,18.2226448059082,0.694908857345581,177.405578613281,0,0,"BySubplot","47ea3f73-3e0c-4ee0-bd1f-78ad4260e67c"
