"MgmtID","StandID","Year","RmvCode","Age","Tpa","TPrdTpa","BA","SDI","CCF","TopHt","QMD","MCuFt","TPrdMCuFt","SCuFt","TPrdSCuFt","SBdFt","TPrdSBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","RunTitle","CaseID"
"A014","361403506767","2014","0",91,987,987,226.629104614258,386,379,82,6.48836946487427,6070.80029296875,6070.80029296875,4184.400390625,4184.400390625,25188,25188,0,0,0,0,10,107.182914733887,54.1872215270996,66.7142868041992,"801","1","1","Grow_2014","360c5a3b-66d5-4f38-a21f-e6d9182cb6bf"
"A014","361403506767","2024","0",101,291.652984619141,291.652984619141,214.959274291992,348,344,89,11.6246843338013,6600.75830078125,6600.75830078125,4908.25341796875,4908.25341796875,29841.076171875,29841.076171875,0,0,0,0,0,0,0,65.3564376831055,"801","1","1","Grow_2014","360c5a3b-66d5-4f38-a21f-e6d9182cb6bf"
"A014","361404102703","2014","0",100,3120,3120,112.268409729004,244,165,72,2.56854867935181,1984.7998046875,1984.7998046875,1378.19995117188,1378.19995117188,8142,8142,0,0,0,0,10,57.2054481506348,3.93818759918213,19.8500003814697,"801","1","1","Grow_2014","62f726ea-cfa4-480d-b782-32f02d321a10"
"A014","361404102703","2024","0",110,2226.97802734375,2226.97802734375,185.725112915039,402,287,79,3.91033267974854,2517.47241210938,2517.47241210938,1741.8828125,1741.8828125,10418.2080078125,10418.2080078125,0,0,0,0,0,0,0,22.8818187713623,"123","1","1","Grow_2014","62f726ea-cfa4-480d-b782-32f02d321a10"
"A014","501402300275","2014","0",91,1104,1104,107.943161010742,162,162,87,4.23398494720459,3522,3522,3234,3234,21294,21294,0,0,0,0,10,43.3356628417969,0.137638092041016,38.703296661377,"801","1","2","Grow_2014","c55ccd27-407b-4a22-8f21-d98c23cd717a"
"A014","501402300275","2024","0",101,1075.77038574219,1075.77038574219,133.245208740234,223,250,92,4.76543188095093,3953.98046875,3953.98046875,3657.53588867188,3657.53588867188,24267.392578125,24267.392578125,0,0,0,0,0,0,0,39.1485137939453,"801","1","2","Grow_2014","c55ccd27-407b-4a22-8f21-d98c23cd717a"
